"Year","Date","Day","Item","Checked Out","Checked In","TimeBin"
2023," Sep 20","Wed","AB"," 8:35A"," 8:48A","8AM-10AM"
2023," Sep 24","Sun","AB"," 10:26A"," 10:37A","10AM-12PM"
2023," Sep 19","Tue","AB"," 10:27A"," 3:27P","10AM-12PM"
2023," Sep 17","Sun","FR"," 10:22A"," 10:28A","10AM-12PM"
2023," Sep 18","Mon","FR"," 9:57A"," 12:13P","8AM-10AM"
2023," Sep 19","Tue","FR"," 10:06A"," 11:25A","10AM-12PM"
2023," Sep 21","Thu","FR"," 8:18A"," 9:46A","8AM-10AM"
2023," Sep 19","Tue","FR"," 10:54A"," 11:36A","10AM-12PM"
2023," Sep 22","Fri","FR"," 5:41A"," 5:48A","5AM-6AM"
2023," Sep 19","Tue","FR"," 9:13A"," 9:42A","8AM-10AM"
2023," Sep 19","Tue","FR"," 9:59A"," 10:57A","8AM-10AM"
2023," Sep 19","Tue","FR"," 10:58A"," 11:04A","10AM-12PM"
2023," Sep 21","Thu","FR"," 11:44A"," 12:09P","10AM-12PM"
2023," Sep 24","Sun","FR"," 11:23A"," 11:43A","10AM-12PM"
2023," Sep 18","Mon","SBI  "," 7:55A"," 8:22A","6AM-8AM"
2023," Sep 17","Sun","MBB"," 10:48A"," 10:48A","10AM-12PM"
2023," Sep 19","Tue","MBB"," 5:44A"," 6:05A","5AM-6AM"
2023," Sep 19","Tue","MBB"," 6:54A"," 7:53A","6AM-8AM"
2023," Sep 20","Wed","MBB"," 8:02A"," 8:27A","8AM-10AM"
2023," Sep 20","Wed","MBB"," 8:44A"," 9:36A","8AM-10AM"
2023," Sep 18","Mon","MBB"," 10:01A"," 10:27A","10AM-12PM"
2023," Sep 20","Wed","MBB"," 10:48A"," 11:36A","10AM-12PM"
2023," Sep 22","Fri","MBB"," 11:22A"," 1:11P","10AM-12PM"
2023," Sep 19","Tue","MBB"," 11:43A"," 12:59P","10AM-12PM"
2023," Sep 20","Wed","MBB"," 11:34A"," 12:10P","10AM-12PM"
2023," Sep 21","Thu","MBB"," 9:55A"," 10:14A","8AM-10AM"
2023," Sep 21","Thu","MBB"," 11:52A"," 1:05P","10AM-12PM"
2023," Sep 23","Sat","MBB"," 10:36A"," 11:49A","10AM-12PM"
2023," Sep 18","Mon","MBB"," 10:28A"," 11:25A","10AM-12PM"
2023," Sep 19","Tue","MBB"," 11:40A"," 12:22P","10AM-12PM"
2023," Sep 22","Fri","MBB"," 9:01A"," 9:22A","8AM-10AM"
2023," Sep 22","Fri","MBB"," 11:14A"," 12:00P","10AM-12PM"
2023," Sep 24","Sun","MBB"," 11:57A"," 11:58A","10AM-12PM"
2023," Sep 17","Sun","MBB"," 10:48A"," 11:55A","10AM-12PM"
2023," Sep 18","Mon","MBB"," 5:46A"," 6:09A","5AM-6AM"
2023," Sep 18","Mon","MBB"," 7:42A"," 8:29A","6AM-8AM"
2023," Sep 18","Mon","MBB"," 10:29A"," 11:27A","10AM-12PM"
2023," Sep 18","Mon","MBB"," 11:55A"," 12:55P","10AM-12PM"
2023," Sep 19","Tue","MBB"," 10:01A"," 10:40A","10AM-12PM"
2023," Sep 19","Tue","MBB"," 11:28A"," 11:51A","10AM-12PM"
2023," Sep 19","Tue","MBB"," 11:52A"," 1:00P","10AM-12PM"
2023," Sep 21","Thu","MBB"," 5:37A"," 5:53A","5AM-6AM"
2023," Sep 21","Thu","MBB"," 10:50A"," 11:13A","10AM-12PM"
2023," Sep 21","Thu","MBB"," 11:48A"," 12:18P","10AM-12PM"
2023," Sep 24","Sun","MBB"," 11:12A"," 2:33P","10AM-12PM"
2023," Sep 21","Thu","MBB"," 5:37A"," 5:53A","5AM-6AM"
2023," Sep 23","Sat","MBB"," 11:54A"," 1:23P","10AM-12PM"
2023," Sep 24","Sun","MBB"," 11:57A"," 12:45P","10AM-12PM"
2023," Sep 21","Thu","SOC"," 5:47A"," 7:02A","5AM-6AM"
2023," Sep 19","Tue","TRX "," 10:27A"," 3:27P","10AM-12PM"
2023," Sep 20","Wed","WBB"," 10:52A"," 12:21P","10AM-12PM"
2023," Sep 23","Sat","WBB"," 11:54A"," 1:23P","10AM-12PM"
2023," Sep 24","Sun","AB"," 12:37P"," 1:32P","12PM-2PM"
2023," Sep 21","Thu","BDN"," 2:02P"," 2:18P","2PM-4PM"
2023," Sep 23","Sat","BDN"," 5:41P"," 8:24P","4PM-6PM"
2023," Sep 23","Sat","BDN"," 5:41P"," 8:24P","4PM-6PM"
2023," Sep 21","Thu","BDN"," 2:02P"," 2:18P","2PM-4PM"
2023," Sep 23","Sat","BDN"," 5:41P"," 8:24P","4PM-6PM"
