Equipment History Detail,,,,
Parameters,,,,
"Sun, Sep 17, 2023 12:00 AM to Sun, Sep 24, 2023 11:59 PM",,,,
Categories: Recreational Equipment,,,,
Customer,"Checked Out
(User)",Due Date,"Checked In
(User)",Overdue
Category: Recreational Equipment,,,,
Equipment: Ab Roller,,,,
Item: AB1,,,,
NAME,"Wed, Sep 20, 2023 8:35A","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 8:48A",
,,,,
NAME,"Sun, Sep 24, 2023 10:26A","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 10:37A",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 12:37P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 1:32P",
,EMAIL,,EMAIL,
Item: AB2,,,,
NAME,"Tue, Sep 19, 2023 10:27A","Tue, Sep 19, 2023 11:59P","Wed, Sep 20, 2023 3:27P",1 day(s)
,(equipment),,EMAIL,
Equipment: Badminton Racquet,,,,
Item: BDN-01,,,,
NAME,"Thu, Sep 21, 2023 2:02P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 2:18P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 5:41P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 8:24P",
,(equipment),,(equipment),
Item: BDN-02,,,,
NAME,"Sat, Sep 23, 2023 5:41P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 8:24P",
,(equipment),,(equipment),
Item: BDN-03,,,,
NAME,"Thu, Sep 21, 2023 2:02P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 2:18P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 5:41P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 8:24P",
,(equipment),,(equipment),
Equipment: Foam Roller,,,,
Item: FR-1,,,,
NAME,"Sun, Sep 17, 2023 10:22A","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 10:28A",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 17, 2023 6:08P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 6:11P",
,EMAIL,,EMAIL,
NAME,"Mon, Sep 18, 2023 9:57A","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 12:13P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 3:40P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 4:06P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 8:36P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 9:18P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 10:06A","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 11:25A",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 1:48P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 1:58P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 4:59P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 5:15P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 5:25P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 5:39P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 6:17P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 6:31P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 6:31P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 6:35P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 7:10P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 7:14P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 9:04P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 9:09P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 4:13P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 5:27P",
,EMAIL,,EMAIL,
NAME,"Thu, Sep 21, 2023 8:18A","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 9:46A",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 3:26P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 3:37P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 1:03P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 1:08P",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 12:03P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 12:10P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 1:03P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 1:32P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 5:28P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 5:56P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 9:47P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 10:25P",
,EMAIL,,EMAIL,
Item: FR-2,,,,
NAME,"Tue, Sep 19, 2023 10:54A","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 11:36A",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 6:17P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 6:31P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 10:35P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 10:40P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 3:27P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 5:28P",
,EMAIL,,EMAIL,
